iter	Passed	Remaining
0	1	110
1	2	101
2	2	95
3	3	86
4	4	85
5	5	84
6	6	84
7	7	84
8	8	83
9	9	82
10	10	82
11	11	81
12	12	80
13	13	80
14	14	79
15	14	78
16	15	77
17	16	76
18	17	76
19	18	75
20	19	74
21	20	73
22	21	72
23	22	71
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	55	39
58	56	38
59	57	38
60	57	37
61	58	36
62	59	35
63	60	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	68	27
71	69	26
72	70	25
73	70	24
74	71	23
75	72	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
