iter	Passed	Remaining
0	166	165897
1	167	83434
2	168	55883
3	168	42054
4	169	33773
5	170	28278
6	171	24322
7	172	21353
8	172	19045
9	173	17203
10	174	15691
11	175	14457
12	176	13384
13	177	12468
14	177	11669
15	178	10971
16	179	10356
17	179	9807
18	180	9341
19	181	8901
20	182	8501
21	183	8136
22	183	7803
23	184	7499
24	185	7229
25	186	6971
26	186	6731
27	187	6509
28	188	6306
29	189	6125
30	190	5945
31	190	5773
32	191	5612
33	192	5461
34	192	5318
35	193	5184
36	194	5056
37	194	4936
38	195	4822
39	196	4713
40	197	4609
41	197	4512
42	198	4419
43	199	4329
44	200	4244
45	200	4162
46	201	4084
47	202	4011
48	203	3954
49	204	3885
50	205	3818
51	206	3757
52	206	3695
53	207	3634
54	208	3581
55	209	3526
56	209	3472
57	210	3420
58	211	3369
59	211	3320
60	212	3273
61	213	3226
62	213	3182
63	214	3142
64	215	3100
65	216	3061
66	217	3026
67	218	2993
68	219	2958
69	219	2921
70	220	2886
71	221	2851
72	221	2817
73	222	2786
74	223	2754
75	224	2723
76	224	2693
77	225	2664
78	226	2636
79	226	2608
80	227	2580
81	228	2554
82	228	2524
83	229	2502
84	230	2478
85	230	2454
86	231	2432
87	233	2421
88	234	2399
89	235	2377
90	235	2354
91	236	2333
92	237	2314
93	238	2294
94	238	2274
95	239	2254
96	240	2235
97	240	2216
98	241	2197
99	242	2179
100	242	2161
101	243	2144
102	244	2126
103	244	2109
104	245	2093
105	246	2080
106	247	2065
107	248	2052
108	249	2037
109	250	2022
110	250	2008
111	251	1994
112	252	1980
113	253	1966
114	253	1952
115	254	1938
116	255	1924
117	255	1911
118	256	1898
119	257	1885
120	257	1872
121	258	1858
122	258	1846
123	259	1834
124	260	1822
125	261	1810
126	261	1798
127	262	1788
128	263	1780
129	264	1769
130	265	1758
131	265	1748
132	266	1737
133	267	1726
134	267	1716
135	268	1706
136	269	1696
137	269	1686
138	270	1676
139	271	1666
140	272	1657
141	272	1646
142	273	1636
143	273	1627
144	274	1618
145	275	1609
146	275	1600
147	276	1592
148	277	1584
149	278	1578
150	279	1570
151	279	1562
152	280	1553
153	281	1545
154	282	1537
155	282	1529
156	283	1521
157	284	1513
158	284	1506
159	285	1498
160	285	1489
161	286	1482
162	287	1474
163	287	1467
164	288	1460
165	289	1453
166	289	1446
167	290	1439
168	291	1432
169	292	1426
170	293	1422
171	294	1415
172	294	1408
173	295	1402
174	296	1395
175	296	1389
176	297	1382
177	298	1376
178	298	1370
179	299	1364
180	300	1358
181	300	1352
182	301	1346
183	302	1340
184	302	1334
185	303	1328
186	304	1323
187	305	1317
188	305	1312
189	306	1307
190	308	1305
191	308	1299
192	309	1294
193	310	1288
194	311	1283
195	311	1278
196	312	1273
197	313	1269
198	314	1264
199	314	1259
200	315	1254
201	316	1249
202	317	1245
203	317	1240
204	318	1236
205	319	1231
206	320	1226
207	321	1222
